62,90,111121
62,90,111123
62,90,111131
62,90,111141
62,90,111142
62,90,111151
62,90,111152
62,90,111161
62,90,111171
62,89,111181
62,90,111191
62,89,111201
62,89,111212
62,89,111221
62,89,111231
61,90,111241
61,89,111251
62,90,111261
62,90,111262
62,90,111273
62,90,111274
61,89,111281
62,90,111291
62,89,111301
62,90,111311
61,90,131111
61,90,131112
61,90,131113
61,90,131114
61,90,131115
61,90,131117
61,90,131121
61,90,131123
61,90,131124
61,90,131126
61,90,131128
61,90,131129
62,90,131131
63,90,131132
61,89,131141
61,90,131142
61,90,131144
61,89,131145
61,89,131161
61,89,131163
61,89,131191
61,89,131192
61,89,131193
61,89,131194
61,89,131195
60,88,131196
61,89,131197
61,90,131201
61,90,131202
62,90,131211
62,90,131212
61,90,131222
61,90,131223
61,89,131231
61,89,131232
61,89,131233
62,90,131241
62,90,131242
59,90,131341
59,89,131342
59,89,131343
63,89,131371
62,89,131381
62,89,131382
61,91,131392
60,90,131411
61,90,131412
61,90,131413
61,91,131442
63,90,131453
62,89,131471
62,89,131472
62,88,131473
61,90,131501
61,89,131502
60,90,131531
62,90,131541
60,89,131551
60,89,131552
60,90,131553
63,90,131561
63,90,131571
60,91,131581
61,92,131591
64,90,131601
63,91,131611
62,92,131621
63,92,132112
63,92,132113
52,97,221112
52,97,221141
52,97,221152
52,97,221163
52,97,221172
52,96,221181
52,96,221182
53,97,221191
52,97,221192
52,96,221202
52,96,221211
52,96,221212
52,97,221221
53,97,221231
53,97,221233
52,97,221241
53,97,221251
52,97,221271
52,96,221281
52,95,238111
52,95,238112
54,98,238120
54,97,238121
54,97,238122
54,98,238123
54,97,238124
54,97,238125
54,97,238127
53,97,238128
54,97,238129
54,98,238130
52,93,238131
52,93,238132
52,93,238133
53,95,238141
52,95,238142
52,95,238143
53,95,238144
52,95,238146
52,95,238151
52,92,238161
53,96,238181
53,96,238182
52,96,238183
51,95,238201
52,93,238211
53,97,238361
53,97,238362
53,97,238371
54,97,238373
54,98,238374
54,97,238375
52,90,324115
52,89,324121
52,90,324133
52,89,324135
52,89,324141
52,89,324142
52,89,324155
55,90,335115
51,88,336111
51,88,336112
50,92,336121
51,92,336124
51,92,336127
50,92,336128
51,91,336131
51,92,336132
51,92,336134
51,92,336352
51,92,336353
52,92,336354
51,92,336355
50,88,336441
45,88,339111
45,88,339112
44,88,339121
55,95,422114
55,95,422115
55,95,422121
55,95,422132
55,95,422141
55,95,422153
55,95,422154
55,95,422155
55,95,422161
55,95,422171
54,94,422201
56,97,437112
56,98,437113
56,97,437114
